race year,age group,gender,category,city,canton,country,latitude,longitude
2002,other,male,42,Jurbise,WAL,BE,50.532888899999996,3.9107946000000013
2002,other,male,42,Frutigen,BE,CH,46.589780499999996,7.646886999999999
2002,other,male,42,Genthod,GE,CH,46.264404799999994,6.1546616
2002,other,male,42,Le Breuil,Auvergne-Rhône-Alpes,FR,46.18354,3.6582230000000004
2003,20-30,female,10,Stockholm,Stockholm County,SE,59.3824578,17.799470499999995
2003,20-30,female,10,L'Abbaye,VD,CH,46.6210206,6.2706192000000005
2003,20-30,female,10,Geroldswil,ZH,CH,47.4239976,8.4117709
2003,20-30,female,10,Ecublens,VD,CH,46.52963629999999,6.5615251999999975
2003,20-30,female,10,Linköping,Östergötland County,SE,58.41080700000001,15.6213728
2003,20-30,female,10,Isérables,VS,CH,46.16251219999999,7.2444663
2003,20-30,female,10,La Tour-de-Peilz,VD,CH,46.4533165,6.8612781
2003,20-30,female,10,Lausanne,VD,CH,46.5196535,6.6322734
2003,20-30,female,10,Paris,Île-de-France,FR,48.856614,2.3522218999999995
2003,20-30,female,10,Lausanne,VD,CH,46.5196535,6.6322734
2003,20-30,female,21,Kerzers,FR,CH,46.97488999999999,7.1954365000000005
2003,20-30,female,21,Duncan,SC,US,34.914082799999996,-82.10412099999998
2003,20-30,female,21,Stockholm,Stockholm County,SE,59.3824578,17.799470499999995
2003,20-30,female,21,Grabs,SG,CH,47.1825657,9.4440433
2003,20-30,female,21,Zürich,ZH,CH,47.37688660000001,8.541694
2003,20-30,female,21,Langnau im Emmental,BE,CH,46.93786220000001,7.7906824000000015
2003,20-30,female,21,Le Mont-sur-Lausanne,VD,CH,46.55331229999999,6.6339915
2003,20-30,female,21,Nendeln,Eschen,LI,47.198561,9.543059800000002
2003,20-30,female,21,Ligerz,BE,CH,47.08512329999999,7.1368597000000005
2003,20-30,female,21,Belmont-sur-Yverdon,VD,CH,46.74537580000001,6.624103
2003,20-30,female,42,Corminboeuf,FR,CH,46.81115870000001,7.1058977
2003,20-30,female,42,Adligenswil,LU,CH,47.071186,8.3647405
2003,20-30,female,42,St Gallen,SG,CH,47.424481799999995,9.376717300000001
2003,20-30,female,42,Downingtown,PA,US,40.002121,-75.6988684
2003,20-30,female,42,Oberwil,BL,CH,47.5159745,7.558200299999997
2003,20-30,female,42,Lausanne,VD,CH,46.5196535,6.6322734
2003,20-30,female,42,Valeyres-sous-Rances,VD,CH,46.753350399999995,6.5257891
2003,20-30,female,42,La Rochelle,Nouvelle-Aquitaine,FR,46.160329,-1.151139
2003,20-30,female,42,Ormoy,Île-de-France,FR,48.57614,2.446631
2003,20-30,female,42,Aspen,CO,US,39.19109829999999,-106.81753870000001
2003,20-30,male,10,Pully,VD,CH,46.50926810000001,6.6654949000000006
2003,20-30,male,10,Féy,Grand Est,FR,49.029196999999996,6.0968599999999995
2003,20-30,male,10,Lussery-Villars,VD,CH,46.63046660000001,6.5249187000000015
2003,20-30,male,10,Troistorrents,VS,CH,46.23624,6.8531999999999975
2003,20-30,male,10,New York,NY,US,40.7258994,-74.0061237
2003,20-30,male,10,Sierre,VS,CH,46.29413110000001,7.533536199999999
2003,20-30,male,10,Sierre,VS,CH,46.29413110000001,7.533536199999999
2003,20-30,male,10,Lausanne,VD,CH,46.5196535,6.6322734
2003,20-30,male,10,Chavornay,VD,CH,46.7088129,6.5707689
