POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
686-01460,-,0,Grey,SS,N,N,SFMTA,ON,0,146,TURK ST,12717000,Area 2,,"(37.7830803011, -122.4122969021)"
472-04230,-,0,Red,SS,Y,N,SFMTA,ON,0,423,HYDE ST,7118000,Area 3,,"(37.7851526988, -122.4162949973)"
593-07110,-,0,Grey,SS,N,N,SFMTA,ON,0,711,OFARRELL ST,9733000,Area 3,,"(37.7852655024, -122.4166804978)"
686-00324,686-00320,4,Grey,MS,N,N,SFMTA,ON,0,32,TURK ST,12716000,Area 1,,"(37.7833294001, -122.4103411024)"
502-00010,-,0,Grey,SS,N,N,SFMTA,ON,0,1,JONES ST,7563000,Area 2,,"(37.7812426974, -122.4121136011)"
502-00300,-,0,Grey,SS,N,N,SFMTA,ON,0,30,JONES ST,7563000,Area 2,,"(37.7818911997, -122.4121146013)"
470-10630,-,0,Yellow,SS,N,N,SFMTA,ON,0,1063,HOWARD ST,7045000,Area 2,,"(37.7784839001, -122.4086017010)"
470-10850,-,0,Grey,SS,N,N,SFMTA,ON,0,1085,HOWARD ST,7046000,Area 2,,"(37.7781071001, -122.4090783016)"
568-09150,-,0,Yellow,SS,N,N,SFMTA,ON,0,915,MISSION ST,9097000,Area 2,,"(37.7823135973, -122.4068577007)"
568-09550,-,0,Yellow,SS,N,N,SFMTA,ON,0,955,MISSION ST,9099000,Area 2,,"(37.7816666988, -122.4076896996)"
502-04190,-,0,Grey,SS,N,N,SFMTA,ON,0,419,JONES ST,7569000,Area 2,,"(37.7853927006, -122.4129669012)"
472-03280,-,0,Grey,SS,N,N,SFMTA,ON,0,328,HYDE ST,7117000,Area 3,,"(37.7842605011, -122.4159507972)"
440-05120,-,0,Red,SS,N,N,SFMTA,ON,0,512,GEARY ST,6112000,Area 2,,"(37.7869278015, -122.4121138022)"
546-00760,-,0,Grey,SS,N,N,SFMTA,ON,0,76,LEAVENWORTH ST,8238000,Area 2,,"(37.7816686992, -122.4137435013)"
546-01040,-,0,Grey,SS,N,N,SFMTA,ON,0,104,LEAVENWORTH ST,8239000,Area 2,,"(37.7820982997, -122.4138364007)"
568-10570,-,0,Grey,SS,N,N,SFMTA,ON,0,1057,MISSION ST,9100000,Area 2,,"(37.7799077005, -122.4099221022)"
546-02040,-,0,Grey,SS,N,N,SFMTA,ON,0,204,LEAVENWORTH ST,8240000,Area 2,,"(37.7830032994, -122.4140147005)"
546-02240,-,0,Yellow,SS,N,N,SFMTA,ON,0,224,LEAVENWORTH ST,8240000,Area 2,,"(37.7836113003, -122.4141391997)"
593-06050,-,0,Yellow,SS,N,N,SFMTA,ON,0,605,OFARRELL ST,9730000,Area 3,,"(37.7855027997, -122.4148960018)"
440-07230,-,0,Grey,SS,N,N,SFMTA,ON,0,723,GEARY ST,6115000,Area 3,,"(37.7863424070, -122.4157158129)"
440-06160,-,0,Black,SS,N,N,SFMTA,ON,0,616,GEARY ST,6114000,MC3,,"(37.7867027027, -122.4138924980)"
562-06260,-,0,Grey,SS,N,N,SFMTA,ON,0,626,MASON ST,8807000,Area 1,,"(37.7896783006, -122.4103099999)"
681-07260,-,0,Red,SS,N,N,SFMTA,ON,0,726,TAYLOR ST,12437000,Area 1,,"(37.7895147976, -122.4119674989)"
563-01310,-,0,Grey,SS,Y,N,SFMTA,ON,0,131,MCALLISTER ST,8890000,Area 2,,"(37.7807339081, -122.4147290348)"
686-03120,-,0,Grey,SS,N,N,SFMTA,ON,0,312,TURK ST,12719000,Area 2,,"(37.7827892982, -122.4146135987)"
686-03160,-,0,Grey,SS,N,N,SFMTA,ON,0,316,TURK ST,12719000,Area 2,,"(37.7827791002, -122.4146940985)"
502-05050,-,0,Yellow,SS,N,N,SFMTA,ON,0,505,JONES ST,7570000,Area 2,,"(37.7859961976, -122.4130912998)"
502-07090,-,0,Grey,SS,N,N,SFMTA,ON,0,709,JONES ST,7574000,Area 2,,"(37.7879561995, -122.4134907981)"
666-07250,-,0,Grey,SS,N,N,SFMTA,ON,0,725,SUTTER ST,12325000,Area 2,,"(37.7886354019, -122.4127543026)"
686-03380,-,0,Grey,SS,N,N,SFMTA,ON,0,338,TURK ST,12719000,Area 2,,"(37.7826966000, -122.4153446012)"
681-03050,-,0,Yellow,SS,N,N,SFMTA,ON,0,305,TAYLOR ST,12429000,Area 1,,"(37.7853645989, -122.4112855026)"
368-01170,-,0,Grey,SS,N,N,SFMTA,ON,0,117,CYRIL MAGNIN ST,4571000,Area 1,,"(37.7859454983, -122.4089394023)"
368-01160,-,0,Yellow,SS,N,N,SFMTA,ON,0,116,CYRIL MAGNIN ST,4571000,Area 1,,"(37.7859907997, -122.4087943004)"
593-05400,-,0,Red,SS,N,N,SFMTA,ON,0,540,OFARRELL ST,9729000,Area 3,,"(37.7856820998, -122.4143072010)"
401-03350,-,0,Grey,SS,N,N,SFMTA,ON,0,335,ELLIS ST,5173000,Area 2,,"(37.7848661997, -122.4123060999)"
442-01120,-,0,Grey,SS,N,N,SFMTA,ON,0,112,GOLDEN GATE AVE,6260000,Area 2,,"(37.7820863974, -122.4126708021)"
442-02041,442-02040,1,Black,MS,N,N,SFMTA,ON,0,204,GOLDEN GATE AVE,6261000,MC2,,"(37.7819062456, -122.4140566951)"
502-01010,-,0,Grey,SS,N,N,SFMTA,ON,0,101,JONES ST,7564000,Area 2,,"(37.7821719990, -122.4123206005)"
400-02060,-,0,Grey,SS,N,N,SFMTA,ON,0,206,EDDY ST,5060000,Area 2,,"(37.7841745027, -122.4112260972)"
546-04030,-,0,Grey,SS,N,N,SFMTA,ON,0,403,LEAVENWORTH ST,8242000,Area 3,,"(37.7848482010, -122.4145471023)"
546-04040,-,0,Grey,SS,N,N,SFMTA,ON,0,404,LEAVENWORTH ST,8242000,Area 3,,"(37.7848637019, -122.4143934005)"
